time,e_ActiveBiomass__cytop,EX_C00009__dra,DM_C02094__chlo,EX_C00244__dra,EX_C00011__dra,DM_C00404__vacu,DM_C00244__cytop,EX_C00205__dra,DM_C08601__chlo,DM_C05306__chlo,DM_C05307__chlo,DM_C00369__chlo,DM_C00422__lip
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.013888888888888888,0.26660205444581875,-0.08572532239852618,0.000128053814927288,-2.2052958503597124,-11.16030663888299,0.0008495181432351395,1.1794929657051842,-162.66053365074927,0.000981373770991738,0.0,0.0,0.0,0.0
0.027777777777777776,0.26673757401536075,-0.08567463871642074,0.0001281140781024141,-2.195897848555403,-11.165991404338804,0.000846179583180201,1.169573526188539,-162.7260098562896,0.0009821709809413907,0.0,0.0,0.0,0.0
0.041666666666666664,0.26687258351708,-0.08562370364489662,0.00012817351658698232,-2.186595054443594,-11.171654649141875,0.0008428359026840896,1.1597512569488853,-162.79123816840726,0.0009829626791463468,0.0,0.0,0.0,0.0
0.05555555555555555,0.26700708740720164,-0.08557251671471391,0.00012823214385021515,-2.17738635165967,-11.177296561130305,0.0008394870398612531,1.1500250244754093,-162.85622075018944,0.000983748903053064,0.0,0.0,0.0,0.0
0.06944444444444445,0.2671410887568504,-0.0855210769375153,0.0001282899725178201,-2.168270731402424,-11.182917270023296,0.0008361329254621871,1.140393808150029,-162.92095909504565,0.000984529681759237,0.0,0.0,0.0,0.0
0.08333333333333334,0.2672745900940639,-0.08546938311999969,0.00012834701476270759,-2.159247232372254,-11.188516882743151,0.0008327734872950651,1.130856636946174,-162.98545443371344,0.0009853050410001515,0.0,0.0,0.0,0.0
0.09722222222222224,0.2674075936651378,-0.08541743395971049,0.00012840328242977339,-2.1503149219392714,-11.194095494379237,0.000829408651529917,1.1214125695908772,-163.04970786059297,0.0009860750046950142,0.0,0.0,0.0,0.0
0.11111111111111113,0.26754010154698543,-0.08536522808561794,0.00012845878709188453,-2.1414728879478986,-11.19965319290192,0.0008260383432291962,1.1120606859371065,-163.1137203880633,0.0009868395956087173,0.0,0.0,0.0,0.0
0.12500000000000003,0.2676721157047477,-0.0853127640786326,0.00012851354008035432,-2.13272023445268,-11.205190061578403,0.0008226624866129647,1.1028000824782729,-163.17749297431988,0.0009875988356874428,0.0,0.0,0.0,0.0
0.13888888888888892,0.2678036380248254,-0.08526004048321231,0.00012856755250387515,-2.1240560792252334,-11.210706180358617,0.000819281005212715,1.0936298697278068,-163.24102653934415,0.0009883527462474816,0.0,0.0,0.0,0.0
0.15277777777777782,0.2679346703353797,-0.08520705581446726,0.00012862083526150007,-2.115479552169236,-11.21620162673586,0.0008158938219378816,1.0845491705549022,-163.3043219748187,0.0009891013480886814,0.0,0.0,0.0,0.0
0.1666666666666667,0.2680652144198862,-0.08515380856276858,0.00012867339905225255,-2.1069897942459215,-11.221676476313718,0.0008125008591553887,1.075557119058708,-163.36738015066157,0.0009898446615653066,0.0,0.0,0.0,0.0
0.1805555555555556,0.26819527202643956,-0.08510029719687257,0.00012872525438268313,-2.0985859567072356,-11.227130803197053,0.000809102038694239,1.0666528597650407,-163.43020191953156,0.0009905827066309459,0.0,0.0,0.0,0.0
0.1944444444444445,0.2683248448744276,-0.08504652016611333,0.00012877641157310203,-2.0902672005247904,-11.232564680271615,0.000805697281901265,1.0578355470298042,-163.49278812004852,0.0009913155028665982,0.0,0.0,0.0,0.0
0.2083333333333334,0.26845393465945694,-0.08499247590198356,0.0001288268807629158,-2.0820326959490374,-11.237978179410149,0.0008022865096201833,1.049104344579215,-163.55513957917063,0.0009920430694972137,0.0,0.0,0.0,0.0
0.2222222222222223,0.2685825430570804,-0.08493816281929957,0.0001288766719153316,-2.073881622158258,-11.24337137162808,0.0007988696422367251,1.0404584251446374,-163.61725711398725,0.0009927654253999248,0.0,0.0,0.0,0.0
0.2361111111111112,0.2687106717256689,-0.08488357931707462,0.0001289257948216004,-2.0658131669714437,-11.248744327203635,0.000795446599667173,1.031896970164084,-163.6791415331046,0.0009934825891059805,0.0,0.0,0.0,0.0
0.25000000000000006,0.26883832230866256,-0.08482872377918195,0.0001289742591049115,-2.057826526607817,-11.254097115772229,0.0007920173013640693,1.0234191695334296,-163.74079363773188,0.0009941945787977024,0.0,0.0,0.0,0.0
0.26388888888888895,0.26896549643640033,-0.08477359457486355,0.0001290220742240174,-2.049920905481215,-11.259429806401752,0.0007885816663243858,1.0150242213933618,-163.80221422255147,0.0009949014123013082,0.0,0.0,0.0,0.0
0.27777777777777785,0.26909219572756427,-0.08471819005912276,0.00012906924947664225,-2.0420955160210403,-11.264742467653452,0.0007851396130821217,1.0067113319451326,-163.86340407641882,0.0009956031070761748,0.0,0.0,0.0,0.0
0.29166666666666674,0.2692184217904026,-0.08466250857302818,0.00012911579400271556,-2.0343495785138295,-11.27003516763181,0.0007816910597233199,0.9984797152871314,-163.92436398293952,0.0009962996802009103,0.0,0.0,0.0,0.0
0.30555555555555564,0.26934417622373874,-0.08460654844394888,0.0001291617167874589,-2.0266823209610973,-11.27530797402574,0.0007782359238719209,0.9903285932692967,-163.98509472094366,0.000996991148356464,0.0,0.0,0.0,0.0
0.31944444444444453,0.26946946061778637,-0.08455030798573564,0.0001292070266643481,-2.019092978950179,-11.280560954143038,0.0007747741226976265,0.9822571953601711,-164.04559706488382,0.000997677527806413,0.0,0.0,0.0,0.0
