time,e_ActiveBiomass__cytop,EX_C00009__dra,DM_C02094__chlo,EX_C00244__dra,EX_C00011__dra,DM_C00404__vacu,DM_C00244__cytop,EX_C00205__dra,DM_C08601__chlo,DM_C05306__chlo,DM_C05307__chlo,DM_C00369__chlo,DM_C00422__lip
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.020833333333333332,0.2657003645984169,-0.10754091027695978,0.00034701940107687576,-2.203690671511188,-11.16030663888299,0.0017308659130850566,1.1813572126585288,-168.23802228779434,0.0017023034931623693,0.0,0.0,0.0,0.0
0.041666666666666664,0.26589997306882207,-0.10750458154987592,0.0003474022292614136,-2.189622577110887,-11.168752838968075,0.0017274814622960997,1.1665210861244748,-168.32978256069504,0.0017050095949683619,0.0,0.0,0.0,0.0
0.0625,0.26609846297112727,-0.10746798493909077,0.0003477750483264065,-2.1757678119454003,-11.177151144444977,0.0017240971188127602,1.1519025927319855,-168.4210230573346,0.0017076943035905512,0.0,0.0,0.0,0.0
0.08333333333333333,0.26629584572793746,-0.10743111909261178,0.00034813815857423697,-2.1621228492577487,-11.185502051513879,0.0017207127180277016,1.1374981617732953,-168.51174916679915,0.00171035781712832,0.0,0.0,0.0,0.0
0.10416666666666666,0.2664921296982593,-0.10739398208801847,0.0003484918453165166,-2.1486844310828714,-11.19380592636459,0.001717328102174065,1.1233045031206903,-168.6019648669779,0.001713000291845735,0.0,0.0,0.0,0.0
0.12499999999999999,0.2666873220328959,-0.10735657176885914,0.00034883638296124534,-2.1354494314462054,-11.202063083715306,0.0017139431158006767,1.109318463285308,-168.69167357708562,0.0017156218674948354,0.0,0.0,0.0,0.0
0.14583333333333331,0.2668814292524833,-0.1073188858465514,0.00034917203647360167,-2.1224148128758515,-11.21027381128702,0.0017105576042815494,1.0955369797060457,-168.7808784233277,0.0017182226752086832,0.0,0.0,0.0,0.0
0.16666666666666666,0.267074457496619,-0.10728092194322755,0.00034949906214483124,-2.1095776071436143,-11.218438380357192,0.0017071714130937248,1.081957060531217,-168.86958235345574,0.0017208028409003281,0.0,0.0,0.0,0.0
0.1875,0.26726641265173984,-0.10724267761317308,0.0003498177080987684,-2.096934905011765,-11.226557051181821,0.0017037843874522997,1.068575773874044,-168.9577881956302,0.0017233624870031865,0.0,0.0,0.0,0.0
0.20833333333333334,0.26745730042452914,-0.10720415035478617,0.00035012821467596646,-2.0844838500597738,-11.23463007611257,0.001700396372087153,1.055390241356362,-169.04549869225417,0.001725901733465715,0.0,0.0,0.0,0.0
0.22916666666666669,0.2676471263876057,-0.10716533761775437,0.000350430814751975,-2.072221634615018,-11.242657701536086,0.0016970072110587498,1.0423976338638166,-169.13271652102227,0.0017284206983647795,0.0,0.0,0.0,0.0
0.25,0.267835896009465,-0.10712623680758242,0.0003507257340160801,-2.0601454968738375,-11.250640169153648,0.0016936167476780694,1.0295951685514035,-169.21944430881717,0.0017309194983053569,0.0,0.0,0.0,0.0
0.2708333333333333,0.2680236146753118,-0.10708684528854603,0.0003510131912240735,-2.0482527187449895,-11.258577716864782,0.001690224824420793,1.016980106607876,-169.3056846412963,0.001733398248692005,0.0,0.0,0.0,0.0
0.29166666666666663,0.2670243333222393,-0.10704716038565727,0.0003512933984326198,-2.036540624156577,-11.266470579400075,0.001698305924715845,1.0055167090012362,-169.48162749077926,0.0017358570639191342,0.0005697325641276516,0.00032932518157667725,0.0,0.0
0.31249999999999994,0.26536782508684403,-0.1070071796139799,0.00035156700508249324,-2.0249965838760353,-11.274307917194292,0.001712734155863115,0.9947612028019597,-169.7068477249316,0.0017383000552148062,0.0014545675562211257,0.0008407904949255062,0.0,0.0
0.33333333333333326,0.26442201194325426,-0.10696690067838137,0.00035183443088044475,-2.013612386078633,-11.282084075769763,0.0017202741658841785,0.9835904722730848,-169.87724803138755,0.0017407295635735157,0.00199728874520473,0.0011545021648582253,0.0,0.0
0.3541666666666666,0.2639270548716054,-0.10692632116674693,0.0003520955767115162,-2.0023915273078505,-11.289806156039251,0.0017234399176435143,0.9722193480288528,-170.0126784585572,0.0017431432942988092,0.002322805732395665,0.001342662273061078,0.0,0.0
0.3749999999999999,0.26371376285952125,-0.10688543849466442,0.0003523504485590166,-1.991335370479705,-11.29747871125452,0.001723868306878164,0.9607868061235136,-170.12606322076155,0.0017455398239857546,0.002512451006563612,0.001452283818822897,0.0,0.0
0.3958333333333332,0.26367383860156335,-0.10684424995581057,0.000352599117656843,-1.9804438858229856,-11.305104648633336,0.001722607050473685,0.949380902333776,-170.22567486485397,0.001747918299011357,0.0026182844575693754,0.0015134592240285407,0.0,0.0
0.4166666666666665,0.26373901663393146,-0.10680275275448975,0.00035284169431005027,-1.9697161547906128,-11.312685829532757,0.0017203165356498573,0.9380562412907425,-170.31672836790335,0.0017502782319435285,0.0026731224388469223,0.0015451574791022673,0.0,0.0
0.43749999999999983,0.263866851615744,-0.10676094402626946,0.00035307831106877365,-1.9591507051397634,-11.32022346064031,0.0017174073255912248,0.9268458700703952,-170.40246685916318,0.0017526193670325465,0.0026973696550379976,0.001559173211004623,0.0,0.0
0.45833333333333315,0.26403127679483473,-0.10671882085083358,0.00035330911213158776,-1.948745729336236,-11.327718344245064,0.0017141315110354054,0.9157691761838089,-170.48488279565592,0.001754941593038084,0.002703557804279004,0.0015627501758838174,0.0,0.0
