time,e_ActiveBiomass__cytop,EX_C00009__dra,DM_C02094__chlo,EX_C00244__dra,EX_C00011__dra,DM_C00404__vacu,DM_C00244__cytop,EX_C00205__dra,DM_C08601__chlo
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.020833333333333332,0.3373550381389485,-0.05127942156812472,0.00010536155265131685,-4.071735827164495,-16.287390728301983,-0.0001641857142857143,1.8762291437871612,-249.28293786235693,0.00014347629124648385
0.041666666666666664,0.3371822717681609,-0.05125232871202134,0.0001046773646331316,-3.9615653579298016,-16.278979454609225,-0.00016413489633697033,1.7671830381416997,-249.1858918191323,0.0001422787966448036
0.0625,0.3370082244879813,-0.05122502392421753,0.0001040018933422154,-3.857342505739537,-16.270507743536697,-0.0001640841440998758,1.6640928857004695,-249.08814590775611,0.00014110675319906323
0.08333333333333333,0.3368328927231662,-0.05119750663589545,0.000103334938600769,-3.758737992181836,-16.26197537625443,-0.00016403345687398662,1.5666294313168079,-248.98969766285947,0.00013995920288132688
0.10416666666666666,0.3366562698447162,-0.05116977575031267,0.00010267631115781767,-3.6654429776821735,-16.25338198898899,-0.0001639828349141512,1.4744838785620646,-248.89054294180704,0.00013883523705974179
0.12499999999999999,0.336478347979983,-0.05114182996272133,0.00010202582846932858,-3.5771664805121177,-16.244727159954444,-0.00016393227884449425,1.387365296937109,-248.79067692928447,0.000137733989779707
0.14583333333333331,0.33629911863996387,-0.051113667857347604,0.00010138331346564742,-3.4936339266098018,-16.236010439411793,-0.00016388178947624615,1.3049991676295307,-248.6900944847317,0.00013665463466699314
0.16666666666666666,0.33611857291369107,-0.05108528794830295,0.00010074859407702064,-3.4145860412564244,-16.22723135896498,-0.0001638313677293584,1.2271262739135351,-248.58879024983423,0.00013559638280006458
0.1875,0.33593670160134864,-0.05105668870018978,0.00010012150302202848,-3.33977790087451,-16.21838943790116,-0.00016378101459231693,1.1535017520839226,-248.48675872185842,0.000134558480951895
0.20833333333333334,0.33575349527617515,-0.051027868539723575,9.950187769945033e-05,-3.268978082624851,-16.20948418610853,-0.0001637307310990602,1.0838942406509884,-248.38399428744228,0.00013354021000714774
0.22916666666666669,0.33556894432171924,-0.05099882586282678,9.888956012126226e-05,-3.2019678846223263,-16.200515105816706,-0.0001636805183146203,1.0180851003113496,-248.28049124277618,0.00013254088347921237
0.25,0.33538303898304267,-0.05096955903921824,9.82843968594931e-05,-3.1385406026605365,-16.191481693995954,-0.0001636303773256377,0.9558676903460643,-248.1762438213986,0.00013155984609453534
0.2708333333333333,0.3351957693541463,-0.05094006641551736,9.768623899439304e-05,-3.078500855031756,-16.182383441707465,-0.00016358030923378504,0.8970466935150871,-248.0712461867598,0.0001305964724297276
0.29166666666666663,0.33500712539884675,-0.050910346317417934,9.709494205805879e-05,-3.0216639498004834,-16.17321983505141,-0.00016353031515104459,0.8414374831972844,-247.96549244324677,0.00012965016559452253
0.31249999999999994,0.3348170969869988,-0.05088039705125287,9.651036597106027e-05,-2.9678552904274684,-16.16399035685322,-0.00016348039619620082,0.7888655287831381,-247.85897665573452,0.00012872035595783783
0.33333333333333326,0.33462567384333575,-0.05085021690514595,9.593237497118464e-05,-2.916909816526598,-16.154694484161148,-0.00016343055349215667,0.7391658367544931,-247.75169282074535,0.0001278064999155737
0.3541666666666666,0.33443284562016956,-0.050819804149874324,9.536083753466687e-05,-2.868671477074148,-16.145331691681225,-0.00016338078816385758,0.6921824234329277,-247.64363490619786,0.0001269080787000705
0.3749999999999999,0.33423860185046306,-0.050789157039523594,9.479562629016966e-05,-2.822992733830108,-16.13590144947936,-0.00016333110133661815,0.6477678186978286,-247.53479682492707,0.00012602459723077457
0.3958333333333332,0.33404293196329604,-0.05075827381199061,9.423661792668922e-05,-2.779734092939824,-16.126403223679123,-0.00016328149413478115,0.6057825974873889,-247.42517244280646,0.00012515558300654547
0.4166666666666665,0.33384582531409446,-0.0507271526893724,9.368369309609221e-05,-2.738763662942876,-16.116836477858755,-0.00016323196768061073,0.5660949376193423,-247.31475559495382,0.00012430058503923213
0.43749999999999983,0.3336472711408625,-0.05069579187826835,9.313673631123027e-05,-2.6999567375674745,-16.107200670912917,-0.00016318252309335864,0.5285802028597044,-247.20354006108508,0.00012345917282837867
0.45833333333333315,0.3334472585954511,-0.050664189570015596,9.259563584068061e-05,-2.6631954017997423,-16.097495258509205,-0.0001631331614884888,0.49312054879339806,-247.0915195823981,0.00012263093537681944
0.47916666666666646,0.3332457767420601,-0.0506323439408719,9.206028360081865e-05,-2.628368159872878,-16.087719692970758,-0.000163083883977005,0.45960455082480367,-246.97868786027786,0.00012181548024654441
0.4999999999999998,0.33304281455207524,-0.050600253152157215,9.15305750460532e-05,-2.5953695838902573,-16.077873422990056,-0.0001630346916648695,0.4279268528325484,-246.86503855304105,0.00012101243265420441
0.5208333333333331,0.33283836089803237,-0.0505679153503621,9.100640905794172e-05,-2.5640999818919252,-16.067955893304987,-0.00016298558565249767,0.39798783527181536,-246.75056527224066,0.00012022143460549145
0.5416666666666665,0.3326324045705814,-0.050535328667229214,9.048768783385287e-05,-2.534465084252988,-16.057966545463497,-0.00016293656703431485,0.36969330147122914,-246.6352615915651,0.00011944214406757867
0.5624999999999999,0.3324249342588616,-0.05050249121981326,8.997431677567393e-05,-2.5063757473797397,-16.04790481686226,-0.00016288763689835753,0.34295418144486556,-246.51912103576083,0.00011867423417856618
