time,ActiveBiomass,Biomass,Carotene,Chlorophyll,Light,Lutein,Nitrate,Nitrogen_quota,Phosphate,Phosphate_quota,Starch,Starch_concentration,TAG,Protein,Carbohydrate,Lipid,Chlorophyll_concentration,Carotene_concentration,Lutein_concentration
0.0,0.10580329214249994,0.1138036916666666,0.0004,0.006,0.0,0.0008,10.0,2.5,0.1,0.2,0.05,0.0056901845833333305,0.0131,0.223992621,0.272318427,0.134778609,0.0006828221499999995,4.552147666666664e-05,9.104295333333328e-05
0.013888888888888888,0.1062256087410217,0.11422700140486843,0.0003994711645720719,0.0059777745194241755,0.0,0.0008047743838047719,9.996507035741944,2.521305184862773,0.09986421981109712,0.200447319214797,0.049814787661868136,0.0056901845833333305,0.013051474367409454,0.22405329387280556,0.2723921898820548,0.13481511647673855,0.0006828232584282519,4.563039327677848e-05,9.19269646694698e-05
0.027777777777777776,0.1066497504826326,0.11465214084431119,0.000398944032171977,0.005955622132638649,0.0,0.0008095354157863199,9.993015697827031,2.5423945233208953,0.09972799718086935,0.20089190818610925,0.049630184438655425,0.0056901845833333305,0.013003108322927724,0.2241137775061059,0.27246572269668984,0.1348515100861668,0.0006828248275667834,4.573978736557892e-05,9.281496850919116e-05
0.041666666666666664,0.10707571624393226,0.11507910885725826,0.0003984185839902753,0.0059335422221971695,0.0,0.0008142831916329883,9.989525963724475,2.563270546326068,0.09959133367234098,0.20133378327050389,0.04944618518497643,0.0056901845833333305,0.012954900518463828,0.2241740709571326,0.27253902429773674,0.13488778926101155,0.0006828267512973662,4.584965559777159e-05,9.370698405056835e-05
0.05555555555555555,0.10750350919261413,0.11550790861714914,0.00039789480669048035,0.00591153439653573,0.0,0.0008190177588837324,9.986037775735912,2.5839355408767877,0.09945422947542408,0.20177295620402613,0.04926278663779776,0.0056901845833333305,0.012906850099103017,0.2242341739181234,0.2726120943110344,0.1349239538160891,0.000682828974862183,4.595999697044223e-05,9.460302844896446e-05
0.06944444444444445,0.10793313416015204,0.11593854496510904,0.0003973726891277897,0.005889598352122939,0.0,0.0008237391464758572,9.982551062815487,2.604391686244257,0.09931668425400876,0.20220943689604645,0.049079986267691174,0.0056901845833333305,0.012858956402135089,0.22429408632850506,0.2726849326629412,0.13496000371495195,0.0006828314633740374,4.607081138634854e-05,9.550311807321171e-05
0.08333333333333334,0.10836459683956234,0.11637102360582464,0.00039685222133000164,0.005867733830698689,0.0,0.0008284473739043826,9.979065747238046,2.624641096684702,0.09917869740486857,0.20264323429756892,0.04889778192248911,0.0056901845833333305,0.012811218863692145,0.22435380825548545,0.2727575394351648,0.13499593899803977,0.0006828341921249329,4.6182099216417565e-05,9.640726890481034e-05
0.09722222222222224,0.10879790344489405,0.11680535076623359,0.00039633339405866636,0.0058459406009016114,0.0,0.0008331424551543031,9.975581747430798,2.644685840027123,0.09904026816768477,0.20307435677495633,0.048716171674180145,0.0056901845833333305,0.012763636978635199,0.22441333984295483,0.27282991480263935,0.13503175975193277,0.0006828371424468791,4.62938611133944e-05,9.731549671253941e-05
0.11111111111111113,0.10923306053868914,0.11724153302257904,0.0003958161985835126,0.005824218448860256,0.0,0.0008378244007124752,9.972098979408322,2.6645279473446775,0.09890139568088455,0.20350281230163578,0.04853515374050217,0.0056901845833333305,0.01271621028001157,0.2244726812853769,0.2729020590017837,0.13506746609364165,0.0006828402996027638,4.64060979171006e-05,9.822781714325415e-05
0.12500000000000003,0.1096700749340419,0.11767957720223858,0.0003953006265524418,0.005802567172800128,0.0,0.0008424932187194784,9.968617357586908,2.6841694186090215,0.09876207901340443,0.20392860856815087,0.0483547264400011,0.0056901845833333305,0.01266893832728029,0.2245318328128399,0.27297397231232695,0.1351030581616129,0.000682843651582708,4.651881060047135e-05,9.914424577466134e-05
0.13888888888888892,0.11010895363439066,0.11811949032337415,0.0003947866699102549,0.005780986579697967,0.0,0.0008471489156832145,9.9651367952848,2.7036122262851006,0.09862231718427131,0.20435175305053538,0.04817488816414975,0.0056901845833333305,0.012621820699007236,0.2245907946817827,0.273045655046034,0.1351385361101483,0.0006828471883601898,4.663200023626146e-05,0.00010006479814850036
0.15277777777777782,0.11054970379424593,0.1185612795555677,0.0003942743208446296,0.005759476483080204,0.0,0.0008517914969476358,9.96165720504806,2.722858317768089,0.09848210917542195,0.20477225305536267,0.04799563735900173,0.0056901845833333305,0.012574856988058455,0.22464956716888682,0.27311710753927965,0.13517390010572997,0.0006828509014041899,4.6745667975241716e-05,0.00010098948979266413
0.1666666666666667,0.11099233269237357,0.11900495219294112,0.00039376357174843006,0.005738036701506769,0.0,0.0008564209670148462,9.958178498872673,2.741909617122543,0.09834145394049858,0.20519011575080728,0.04781697251255643,0.0056901845833333305,0.01252804679828979,0.2247081505668615,0.27318833014792426,0.1352091503244839,0.0006828547833441545,4.685981503124366e-05,0.00010191833623663418
0.1805555555555556,0.11143684771280232,0.1194505156351189,0.0003932544151923554,0.0057166670574882545,0.0,0.000861037329774504,9.954700588361419,2.760768026377447,0.09820035041111613,0.20560534818884998,0.047638892145735474,0.0056901845833333305,0.012481389742182705,0.224766545181425,0.2732593232436442,0.13524428695036392,0.0006828588277312699,4.697444267051398e-05,0.00010285135302265041
0.1944444444444445,0.1118832563309675,0.11989797737333895,0.00039274684390442613,0.005695367376689329,0.0,0.000865640588671999,9.951223384837924,2.77943542652595,0.0980587975014697,0.20601795732162573,0.0474613948057444,0.0056901845833333305,0.012434885439105045,0.2248247513290751,0.2733300872112206,0.13527931017380987,0.00068286302886315,4.7089552203903164e-05,0.00010378855571403915
